Timestamp,Which age group do you belong to?,What is your employment status?,Which part of the year did you visit USS?,Who did you visit USS with?,What was the main purpose of your visit?,What factors influenced your decision to visit USS? Select all that apply,What concerns did you have before deciding to visit USS?,"On a scale of 1-5, how would you rate your overall experience at USS?",What was the highlight of your visit?,How would you describe USS' brand image before visiting?,How did you first hear about Universal Studios Singapore?,"How easy was it to find relevant information about USS online (ticket pricing, attractions, events, etc.)?",Have you seen any recent advertisements or promotions for USS?,What type of promotions or discounts would encourage you to visit USS?,Did you visit the USS website while planning your trip?,"How easy was it to navigate the USS website to find information about tickets, attractions, and events?","Did the website provide clear and sufficient information about ticket prices, promotions, and park rules?",What features would improve your experience on the USS website? (Select all that apply),Did you use the USS mobile app before your visit?,"If you used the USS app, how would you rate its ease of use?",What USS app features did you find most helpful? (Select all that apply)  ,What feedback/suggestions would you like to provide for USS website/app?,Which ride or attraction was your favourite?,Why this attraction in particular? ,Which ride or attraction have you had bad experiences with (if any)? ,What made your experience with this ride or attraction unpleasant? ,"Did you experience any rides with longer-than-expected wait times? If yes, which ride(s)?",How long did you wait in line for rides on average during your visit?,"Did you feel that overall, the queueing time was worth the experience of the attraction? ", Were the shows and performances engaging and enjoyable?  ,Did you find the price of the general admission ticket reasonable for the experience provided?,Did you purchase the Express Pass?,"If you purchased the Express Pass, how would you rate the value of the Express Pass in relation to the experience it provided?",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Waiting times],Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride variety ],"Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride experience (quality, theme, etc.)]","Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Overall park experience (atmosphere, entertainment, etc.)]",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Customer Service], Did you find a good variety of food options?  ,Were there enough affordable and accessible meal choices?  ,Were there enough kid-friendly meal choices?, How would you rate the food quality and service?  ,Did you stay at a nearby hotel or within Resorts World Sentosa?   ,"If you booked a nearby accommodation, how was the experience? ",Was the accommodation convenient and family-friendly?  ,Have you reached out to USS customer service before your visit?,"If you interacted with USS customer service, how satisfied were you with the response time and assistance?",Were the park staff at USS friendly and helpful? Rate on a scale from 1-5.,"Did you encounter any issues that required assistance, and how were they handled?  ",Would you choose to revisit USS?,"If you answered 'No' or 'Maybe', please explain why. ",What changes or improvements would make your next visit better?  ,Would you recommend USS to others?,Please state your reason for the previous question.
2/22/2025 23:07:00,18 - 24 years old,Student,October - December,Romantic partner,Halloween Horror Night,"Friends or family recommendations, Special events or themed attractions","Ride wait times and crowd levels, Accessibility and transportation",4,"Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,5,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,1,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Sesame Street Spaghetti Space Chase,The IP is cute,Not applicable,,,46 to 60 minutes,3,4,No,No,,2,4,1,3,5,No,No,,3,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,More special events as the rides could get old.,Yes,It depends on your likings but HHN is quite wild
2/22/2025 23:09:16,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Food and dining experience, Overall park atmosphere and theme",Fun and family-friendly,Online ads,5,"No, I haven't seen any ads","Seasonal event promotions, Family/group discounts",Yes,1,"Yes, everything was clear","Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't find it necessary",,"Online ticket booking, Show schedules and ride wait times",,HUMAN,It was thrilling,Not applicable,,"Transformers, Revenge of the Mummy, Puss in Boots",46 to 60 minutes,3,4,Yes,No,,4,5,2,3,1,No,No,Yes,4,No,Nil,Not applicable,"No, I did not",,4,Nil,Yes,,"More rides, less queue, more affordable tickets",Yes,I think it is a good tourist attraction 
2/22/2025 23:15:08,18 - 24 years old,Student,April - June,"Family (adults only), Friends, Romantic partner",Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels, Accessibility and transportation",4,"Thrilling rides, Live shows and entertainment, Shorter queue times and Express Pass benefits, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,5,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions",Yes,1,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't find it necessary",,Show schedules and ride wait times,"Besides the waiting time, give a rough estimate of the number of people queuing for the ride",Revenge of the Mummy,"i like thrilling rides and personally, I find the theme of Mummy to be very interesting and spooky so it is a perfect blend of roller coaster with a good storyline. ",Puss in Boots,I find the pauses along the rides to be quite unsatisfying,"HUMAN, CYLON",61 to 90 minutes,3,4,Yes,Yes,3,1,4,2,3,5,No,No,No,2,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,Lesser waiting time for the attractions and more variety and affordable food options.,Yes,It is one of the more fun attraction in Singapore
2/22/2025 23:18:35,18 - 24 years old,Student,January - March,Family (adults only),Family outing,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels",2,"Shorter queue times and Express Pass benefits, Overall park atmosphere and theme",Fun and family-friendly,Online ads,5,"Yes, but they did not influence my decision","Discounted tickets, Family/group discounts",Yes,1,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Puss in Boots,"It wasn't too thrilling but still fun, making the thrill level just right for me.",Not applicable,,,Less than 15 minutes,5,4,No,No,,4,2,3,1,5,No,No,,2,No,NIL,Not applicable,"No, I did not",,5,NIL,No,"There are rarely any changes or updates to the rides, making it not very enticing to go frequently given how expensive the tickets are.","Build new rides, improve the quality and aesthetics of the food",No,"In my opinion, the theme park is quite small and not really worth visiting."
2/22/2025 23:35:09,18 - 24 years old,Student,October - December,"Friends, Romantic partner",Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment",Fun and family-friendly,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.)",Yes,1,"Yes, everything was clear",Better mobile optimisation,"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,fun,Not applicable,,"HUMAN, CYLON, Revenge of the Mummy",More than 90 minutes,3,4,No,No,,5,4,3,2,1,Yes,No,Yes,4,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,Cheaper,Yes,Fun in singapore
2/22/2025 23:36:42,18 - 24 years old,Student,October - December,Family (adults only),Family outing,"Reputation as a top theme park in Asia, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Food and dining experience, Shorter queue times and Express Pass benefits",Fun and family-friendly,Word of mouth,5,"No, I haven't seen any ads",Discounted tickets,Yes,4,"Yes, everything was clear","More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,"It's in the dark, and quite fast too, so it's more thrilling",Not applicable,,,15 to 30 minutes,4,3,Yes,Yes,4,3,1,2,4,5,Yes,Yes,Yes,4,No,NIL,Not applicable,"No, I did not",,4,NIL,No,"Tried all the rides already, so I already know what to expect if i go again.","Different rides, seasonal change in shows or more interesting themes",Yes,"If they haven't been to USS before I'd recommend it, since it's one of the few attractions in sg. It's good to experience it at least once"
2/22/2025 23:46:18,18 - 24 years old,Student,April - June,Friends,Social gathering,Positive online reviews,"Ticket pricing and affordability, Ride wait times and crowd levels, Accessibility and transportation",2,Overall park atmosphere and theme,High quality and premium entertainment,Social media,4,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,thrilling,Not applicable,,,61 to 90 minutes,2,3,Yes,No,,1,3,2,4,5,No,No,,2,No,NIL,Not applicable,"No, I did not",,4,NIL,No,once is enough,"more ventilation for queue areas, the long waiting time and unbearably hot Singapore weather made the experience so horrible",No,there are better theme parks overseas and you can experience it in a nicer weather lol
2/23/2025 0:06:16,18 - 24 years old,Student,October - December,Friends,Social gathering,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Accessibility and transportation",2,Overall park atmosphere and theme,High quality and premium entertainment,Social media,4,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,im interested in egyptian things,Not applicable,,,46 to 60 minutes,3,3,Yes,No,,1,3,2,4,5,No,No,,2,No,NIL,Not applicable,"No, I did not",,4,NIL,No,"experiencing it once is enough, i would rather spend the money on something else",sheltered / remote waiting areas,No,theme parks overseas are bigger and have more vibes
2/23/2025 0:31:59,25 - 34 years old,Student,October - December,Friends,Social gathering,"Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Park cleanliness and hygiene, Food options and prices",5,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Social media,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,1,"Yes, everything was clear","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,Different and exciting at the same time with visuals and clear story line,"HUMAN, CYCLON",long waiting time in general,"HUMAN, CYLON",61 to 90 minutes,3,4,Yes,No,,5,1,2,3,4,No,No,Yes,4,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,NIL,Yes,It’s good and the only theme park in Singapore
2/23/2025 1:04:40,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Friends or family recommendations, Special events or themed attractions",Ticket pricing and affordability,3,Live shows and entertainment,Fun and family-friendly,Word of mouth,4,Yes and they influenced my decision to visit,"Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,4,"Somewhat clear, but some details were missing","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos",Yes,3,Online ticket booking,,Revenge of the Mummy,Thrilling,Not applicable,,Revenge of the Mummy,31 to 45 minutes,3,3,No,Yes,2,2,4,5,3,1,Yes,No,Yes,3,No,Nil,Not applicable,"No, I did not",,3,Nil,Maybe,,Better rides,Yes,Good park
2/23/2025 1:31:21,18 - 24 years old,Student,Can't recall / Not sure,"Family (including children), Friends",Social gathering,Reputation as a top theme park in Asia,"Ticket pricing and affordability, Food options and prices",4,"Thrilling rides, Live shows and entertainment",High quality and premium entertainment,Word of mouth,4,"Yes, but they did not influence my decision",Discounted tickets,No,,"Somewhat clear, but some details were missing",Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,It’s classic ,Not applicable,,,15 to 30 minutes,4,4,Yes,No,,1,3,2,5,4,No,No,No,2,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,Clear instructions of leaving there,Yes,Worth to visit at least once
2/23/2025 7:04:12,18 - 24 years old,Student,July - September,Family (including children),Family outing,Reputation as a top theme park in Asia,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,3,"No, I haven't seen any ads",Family/group discounts,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,Combination of horror and roller coaster,Not applicable,,Transformers,61 to 90 minutes,3,5,Yes,No,,2,5,4,3,1,Yes,Yes,Yes,4,No,NIL,Not applicable,"No, I did not",,1,Maybe ,Yes,,maybe staff wear more distinguishable clothes,Yes,due to its big name
2/23/2025 8:40:09,18 - 24 years old,Student,Can't recall / Not sure,"Family (adults only), Friends",Social gathering,Friends or family recommendations,Food options and prices,4,"Thrilling rides, Live shows and entertainment",Exciting and thrilling rides,Word of mouth,5,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",Yes,2,"Somewhat clear, but some details were missing",More detailed ride descriptions and photos/videos,"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,-,Not applicable,,,31 to 45 minutes,4,,No,No,,3,2,4,5,1,Yes,Yes,Yes,4,No,nil,Not applicable,"No, I did not",,4,NIL,Yes,,less crowds,Yes,one of the few  attractions in sg
2/23/2025 9:13:46,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Online ads,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,There was a story and some horror elements to it that added to the excitement especially for first timers. ,Transformers,The ride was closed for repairs or renovation when we went there. ,"HUMAN, CYLON",15 to 30 minutes,3,3,Yes,No,,3,1,2,4,5,No,No,No,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,There’s not a lot of change to the park even after renovations. So I don’t think I would go unless a friend wanted to. ,More park rides,Yes,I think it is still fun especially for first timers.
2/23/2025 11:13:37,35 - 44 years old,Employed,October - December,Family (including children),Family outing,Friends or family recommendations,Ride wait times and crowd levels,3,Shorter queue times and Express Pass benefits,Fun and family-friendly,Word of mouth,2,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Family/group discounts",Yes,3,"Somewhat clear, but some details were missing",More user-friendly ticket booking process,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Puss in Boots,My kids like it,Not applicable,,Transformers,61 to 90 minutes,3,2,Yes,Yes,4,5,1,2,4,3,No,No,Yes,4,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,Better crowd management,Yes,A good family bonding activity
2/23/2025 11:29:43,25 - 34 years old,Unemployed,Can't recall / Not sure,Family (including children),Family outing,Reputation as a top theme park in Asia,Ticket pricing and affordability,4,Live shows and entertainment,Fun and family-friendly,Word of mouth,5,"No, I haven't seen any ads","Discounted tickets, Family/group discounts",No,,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,Interactive experience,Not applicable,,,15 to 30 minutes,3,4,Yes,No,,1,3,5,4,2,No,No,No,2,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,Depends on price,Include more discounts,Yes,It's still a great theme park that can provide a fun experience 
2/23/2025 11:35:49,12 - 17 years old,Student,January - March,Friends,Social gathering,"Reputation as a top theme park in Asia, Friends or family recommendations",Ticket pricing and affordability,4,Thrilling rides,High quality and premium entertainment,Word of mouth,5,Yes and they influenced my decision to visit,Discounted tickets,Yes,2,"Somewhat clear, but some details were missing",Live updates on crowd levels and wait times,Yes,4,"Interactive park map, Show schedules and ride wait times",,CYLON,thrilling and fun acitivity with my friends,Sesame Street Spaghetti Space Chase,it was not as thrilling,Revenge of the Mummy,61 to 90 minutes,5,5,No,No,,4,2,1,3,5,No,No,No,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,More Rides!!!,Yes,Fun but a bit more ex
2/23/2025 11:47:13,18 - 24 years old,Student,October - December,Friends,Social gathering,"Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc)","Ticket pricing and affordability, Ride wait times and crowd levels, Accessibility and transportation",4,Overall park atmosphere and theme,High quality and premium entertainment,Social media,4,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,The horror theme and roller coaster makes the experience spooky and thrilling ,Not applicable,,,46 to 60 minutes,4,2,Yes,No,,1,3,2,4,5,No,No,,2,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,"Repetitive, see no point in spending so much for the same experience, unless going with a different group of friends","Discounts for repeated visits? I understand that there is a monthly pass or something, but its not feasible to make such a huge commitment on an experience that is so repetitive and expensive. It would be better to have a record of your first visit then discount for subsequent visits etc.",No,Honestly SG’s weather is not made for outdoor activities 
2/23/2025 12:07:42,18 - 24 years old,Student,April - June,Family (including children),Business/Corporate event,"Reputation as a top theme park in Asia, Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,Overall park atmosphere and theme,Fun and family-friendly,Word of mouth,5,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Puss in Boots,Fun but not too scary,Not applicable,,,15 to 30 minutes,3,3,No,No,,4,2,3,1,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Shorter waiting times,Yes,fun and good atmosphere 
2/23/2025 12:36:01,18 - 24 years old,Student,October - December,Friends,Halloween Horror Night,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels",2,Live shows and entertainment,Exciting and thrilling rides,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Family/group discounts",Yes,3,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,Fun ,Not applicable,,,31 to 45 minutes,3,3,Yes,No,,1,3,4,5,2,Yes,No,,3,No,NIL,Yes,"No, I did not",,3,NIL,Maybe,Depends on how much money I have or if special occasion,Discount and better events,Yes,For a first time I would recommend it as it is Singapore’s biggest amusement park
2/23/2025 13:33:33,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Shorter queue times and Express Pass benefits, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,5,Yes and they influenced my decision to visit,"Discounted tickets, Bundle deals (hotel + ticket packages etc.)",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,thrilling,Not applicable,,"HUMAN, CYLON",46 to 60 minutes,2,4,No,No,,3,5,4,2,1,No,No,Yes,3,No,nil,Yes,"No, I did not",,4,nil,Yes,,shorter waiting times more food options,Yes,only theme park in sg
2/23/2025 14:02:49,25 - 34 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",3,Overall park atmosphere and theme,Fun and family-friendly,Word of mouth,5,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions",Yes,2,"Yes, everything was clear","Faster loading times, More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times",Yes,3,"Interactive park map, Show schedules and ride wait times",,CYLON,thrilling,Not applicable,,"HUMAN, CYLON, Revenge of the Mummy, Canopy Flyer",46 to 60 minutes,3,4,No,Yes,4,1,2,3,4,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,too repetitive,new rides and events,No,too little rides range
2/23/2025 15:01:29,18 - 24 years old,Student,Can't recall / Not sure,"Friends, Romantic partner",Date/Romantic experience,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels, Accessibility and transportation",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",High quality and premium entertainment,Online ads,5,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions",Yes,1,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Online ticket booking,,HUMAN,very fast so it's thrilling ,Not applicable,,"HUMAN, CYLON, Revenge of the Mummy",More than 90 minutes,1,3,No,No,,2,3,1,4,5,No,No,,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Maybe,the tickets are way too expensive ,discounted tickets or season pass,No,not worth the price
2/23/2025 16:38:02,18 - 24 years old,Student,January - March,Family (including children),Family outing,Friends or family recommendations,Accessibility and transportation,4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,5,"Yes, but they did not influence my decision",Discounted tickets,Yes,4,"No, it was unclear and needed more information",Live updates on crowd levels and wait times,"No, I didn't find it necessary",1,Not applicable (Did not use the app),,Puss in Boots,Cute,Not applicable,,"CYLON, Transformers",More than 90 minutes,5,4,Yes,No,4,2,3,4,1,5,No,No,Yes,3,No,NIL,Yes,"Yes, via email",5,5,NIL,Yes,,more shelter,Yes,fun
2/23/2025 18:15:45,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",3,"Thrilling rides, Live shows and entertainment",Exciting and thrilling rides,Word of mouth,5,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,"Innovative, Fun, Engaging. Very different from a typical roller coaster.",Not applicable,,"Transformers, Revenge of the Mummy, Canopy Flyer",15 to 30 minutes,3,5,No,No,,3,4,2,1,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,Ticket prices are high. May not be worth the revisit,Shorter queues? Different rides? Keep Human/Cyclon open and not be on maintenance all the time.,No,"Depends honestly on what the other person is looking for. New to SG and want a theme park? Sure. But if looking for other experiences in SG, a theme park would not be on my list."
2/23/2025 21:03:40,18 - 24 years old,Student,October - December,Friends,Halloween Horror Night,Special events or themed attractions,Ride wait times and crowd levels,3,Overall park atmosphere and theme,Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,4,"Yes, everything was clear","More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,most thrilling ride,Not applicable,,,46 to 60 minutes,1,1,No,No,,1,5,2,3,4,No,No,Yes,2,No,NIL,Not applicable,"No, I did not",3,3,NIL,Maybe,For HHN,Better crowd management,Yes,It's still fun
2/23/2025 22:08:22,18 - 24 years old,Student,October - December,"Friends, Romantic partner","Special event / Celebration (eg. birthday, anniversary)","Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions",Ticket pricing and affordability,5,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",High quality and premium entertainment,Social media,,Yes and they influenced my decision to visit,"Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,"Online ticket booking, Interactive park map, Show schedules and ride wait times",,Revenge of the Mummy,It’s thrilling!,Not applicable,,CYLON,46 to 60 minutes,5,5,Yes,No,,1,2,3,4,5,No,No,,3,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,"Shorter waiting time, cheaper express pass ",Yes,The rides are great!
2/23/2025 22:27:28,18 - 24 years old,Student,Can't recall / Not sure,Family (adults only),Family outing,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",3,Overall park atmosphere and theme,Fun and family-friendly,Word of mouth,4,Yes and they influenced my decision to visit,"Discounted tickets, Family/group discounts",Yes,4,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Enchanted Airways,Condensed experience with short queue (:,"HUMAN, CYCLON, Sesame Street Spaghetti Space Chase",Queue times.,"HUMAN, CYLON, Sesame Street Spaghetti Space Chase",15 to 30 minutes,2,2,No,No,,1,4,3,2,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Maybe,I'm broke lmao,Cost reduction!,No,They're probably also broke 
2/24/2025 13:29:11,18 - 24 years old,Student,July - September,Friends,Social gathering,"Reputation as a top theme park in Asia, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices, Accessibility and transportation",3,Thrilling rides,Fun and family-friendly,Word of mouth,5,Yes and they influenced my decision to visit,"Discounted tickets, Family/group discounts",Yes,4,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process","No, I didn't know there was an app",5,Did not know of app,NA,CYLON,Thrill!,Not applicable,,Puss in Boots,31 to 45 minutes,3,4,No,No,1,3,2,5,1,4,Yes,No,No,3,No,NIL,Not applicable,"No, I did not",1,1,NIL,Yes,,Bundle deals!,Yes,Quite fun!
2/24/2025 15:02:46,18 - 24 years old,Student,October - December,Friends,"Special event / Celebration (eg. birthday, anniversary)","Reputation as a top theme park in Asia, Social media content (Instagram, Youtube, Tiktok, etc)","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions, Family/group discounts",No,,"Yes, everything was clear",Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,The intensity was just right.,Not applicable,,,15 to 30 minutes,2,3,No,No,,3,2,1,4,5,Yes,Yes,,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,Special occasions,Shorter waiting time,Yes,It's one of the top attractions in Singapore
2/25/2025 12:10:58,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",3,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Social media,4,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),NIL,Revenge of the Mummy,Thrilling,Puss in Boots,Kinda boring ,"HUMAN, CYLON, Revenge of the Mummy",15 to 30 minutes,4,3,No,No,,1,3,2,4,5,No,No,Yes,3,Yes,Good,Yes,"No, I did not",,4,NIL,Yes,,Affordable prices,Yes,It's fun
2/26/2025 17:56:49,18 - 24 years old,Student,October - December,Friends,Social gathering,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Accessibility and transportation",4,Overall park atmosphere and theme,Fun and family-friendly,Social media,4,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,It is dark which makes the ride more exciting ,Not applicable,,,46 to 60 minutes,3,2,Yes,No,,1,3,2,4,5,No,No,,3,No,NIL,Not applicable,"No, I did not",,4,NIL,No,"Once is enough, experience is more or less the same anyway",More up to date and relevant themes,No,Theme parks overseas are more fun
